DATE_OF_SCORE	PROPERTY_TYPE	CONTENTDATA_PROPERTY_TYPE_ID	APS_RAW_SCORE	PROPERTY_NAME
2024-04-06	BROADCAST	301-1258	32.313766804	Beau Daniels
2024-04-06	BROADCAST	301-12532	32.311415781	Shotgun Jaxon
2024-04-06	BROADCAST	301-21392	32.267077615	Saturday Morning Flashback
2024-04-06	BROADCAST	301-18213	32.262099247	John Reid
2024-04-06	BROADCAST	301-19547	32.166746051	Philadelphia's Weekend News
2024-04-06	BROADCAST	301-17068	31.878925359	Melissa Chase
2024-04-06	BROADCAST	301-12947	31.807787661	The Newell Normand Show
2024-04-06	BROADCAST	301-22786	31.804983753	San Diego Padres Baseball
2024-04-06	BROADCAST	301-22055	31.719841402	Jayn
2024-04-06	BROADCAST	301-13049	31.69385657	KC's Morning News
2024-04-06	BROADCAST	301-20798	31.651287614	The Game at Night
2024-04-06	BROADCAST	301-18017	31.585603127	Ken & Curtis
2024-04-06	BROADCAST	301-16851	31.561959053	Dan Hardee
2024-04-06	BROADCAST	301-17568	31.495785006	Jen Toohey
2024-04-06	BROADCAST	301-16708	31.348678402	The Charlie James Show
2024-04-06	BROADCAST	301-15033	31.252758902	Jill Bucco
2024-04-06	BROADCAST	301-12060	30.90672885	KCBS Radio Weekend News
2024-04-06	BROADCAST	301-19361	30.660021912	Mike Fliegelman
2024-04-06	BROADCAST	301-22254	30.529544078	Foxx & Annie in the Morning
2024-04-06	BROADCAST	301-19581	30.432833092	KCBS Radio Afternoon News
2024-04-06	BROADCAST	301-21801	30.415874214	KRLD Morning News with Heather Behrens & Mike Rogers
2024-04-06	BROADCAST	301-18263	30.116630954	The John Kentera Show
2024-04-06	BROADCAST	301-17632	29.897010084	Philadelphia Eagles Postgame Show
2024-04-06	BROADCAST	301-22377	29.88895989	Jack Fritz at Six
2024-04-06	BROADCAST	301-13654	29.681376825	Kevan Kenney
2024-04-06	BROADCAST	301-2026	29.224456099	The Jody Mac Show
2024-04-06	BROADCAST	301-21248	29.093899972	Drank On The Rox Morning Show
2024-04-06	BROADCAST	301-1122	29.088070251	"""Too Much Truth"" with Derrick Boazman"
2024-04-06	BROADCAST	301-12712	28.958665707	Dennis Fuller
2024-04-06	BROADCAST	301-19578	28.926320696	KCBS Radio Overnight News
2024-04-06	BROADCAST	301-22370	28.876435888	V103
2024-04-06	BROADCAST	301-17620	28.758355509	Steve Trevelise
2024-04-06	BROADCAST	301-13082	28.667934708	Jason & John
2024-04-06	BROADCAST	301-22648	28.559760296	Chuck Taylor
2024-04-06	BROADCAST	301-22191	28.25820029	Kimo
2024-04-06	BROADCAST	301-679	28.139846533	Paula Balish
2024-04-06	BROADCAST	301-20145	28.099841751	Pittsburgh Pirates Baseball
2024-04-06	BROADCAST	301-19216	28.028225218	Lori Rubinson
2024-04-06	BROADCAST	301-13309	28.019451925	The Rise Guys
2024-04-06	BROADCAST	301-13636	28.000724574	Go Birds
2024-04-06	BROADCAST	301-21302	27.998268513	Dallas Cowboys Football
2024-04-06	BROADCAST	301-12888	27.876627735	Glenn Beck
